horizon,optimal_threshold,accuracy,precision,recall,f1,roc_auc,pr_auc
30,0.731472587710728,0.966609491137793,0.7921615201900237,0.8507653061224489,0.8204182041820418,0.9874676836568066,0.8932537082594088
60,0.7356390287803987,0.9685534591194969,0.8112980769230769,0.8511979823455234,0.8307692307692308,0.9874588800140058,0.8968902260990415
90,0.7721577805677076,0.968210405946255,0.8683510638297872,0.7848557692307693,0.8244949494949495,0.9878176369946242,0.9030980812559262
